Uncertainty           , Type  , ttH_hbb , ttH_hcc , ttH_hww , ttH_hzz , ttH_htt , ttH_hgg , ttH_hgluglu , ttH_hzg , ttbarOther , ttbarPlusB , ttbarPlus2B , ttbarPlusBBbar , ttbarPlusCCbar , singlet , wjets , zjets , ttbarW , ttbarZ , diboson
lumi                  , lnN   , x     , x     , x     , x     , x     , x     , x     , x     , x     , x          , x              , x              , x              , x       , x     , x     , x      , x      , x
QCDscale_ttH          , lnN   , 1.09 , 1.09 , 1.09 , 1.09 , 1.09 , 1.09 , 1.09 , 1.09 , -     , -          , -              , -              , -              , -       , -     , -     , -      , -      , -
QCDscale_ttbar        , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , 1.030  , 1.030     , 1.030          , 1.030          , 1.030          , 1.03    , -     , -     , 1.13      , 1.12      , -
QCDscale_singlet        , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -          , -          , 1.04    , -     , -     , 1.13      , 1.12      , -
#QCDscale_ttW          , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -      , -         , -              , -              , -              , -       , -     , -     , 1.1    , -      , -
#QCDscale_ttZ          , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -      , -         , -              , -              , -              , -       , -     , -     , -      , 1.11   , -
pdf_gg                , lnN   , 1.09  , 1.09  , 1.09  , 1.09  , 1.09  , 1.09  , 1.09  , 1.09  , 1.026  , 1.026     , 1.026          , 1.026          , 1.026          , -       , -     , -     , -      , 1.09   , -
pdf_qqbar             , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , -              , -       , 1.04 , 1.04 , 1.02   , -      , -
pdf_qg                , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , -              , 1.04   , -     , -     , -      , -      , -
QCDscale_V            , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , -              , -       , 1.01 , 1.01 , -      , -      , -
QCDscale_VV           , lnN   , -     , -     , -     , -     , -     , -     , -     , -     , -     , -          , -              , -              , -              , -       , -     , -     , -      , -      , 1.035
